Brand,Model,Green Ticks,Cooling Capacity (kW),Full Load COP,COP at 75% Part Load,COP at 50% Part Load,COP at 25% Part Load,IEER,Annual Energy Consumption (kWh),Annual Energy Cost ($),Date of Expiry,Number of Indoor Units Used for Test,Model No. of Indoor Units Used for Test
Daikin,RXUQ16AYM,3,43.42,3.57,4.99,6.51,6.13,5.47,2311,2311,31/03/2027,8,"FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM"
Daikin,RXQ14AYMW,2,38.61,3.68,4.70,6.06,5.91,5.15,2162,2162,31/03/2027,7,"FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM"
Daikin,RXQ10AYM,3,27.02,3.89,5.11,6.54,6.27,5.57,1429,1429,31/03/2027,5,"FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM"
Daikin,RXUQ10AYM,5,27.02,4.28,5.69,6.83,7.41,6.15,1317,1317,31/03/2027,5,"FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM"
Daikin,RWHQ6TYM,2,15.44,4.23,5.29,5.86,3.86,5.23,1123,1123,31/03/2027,3,"FXFQ50SVM, FXFQ50SVM, FXFQ50SVM"
Daikin,RSUQ9AYM,1,23.28,3.15,4.17,5.31,6.19,4.67,1752,1752,31/03/2027,5,"FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ25AVM"
Daikin,RXUQ10AYMW,5,27.02,4.28,5.69,6.83,7.41,6.15,1317,1317,31/03/2027,5,"FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM"
Daikin,RWHQ8TYM,2,21.62,3.97,4.72,5.69,3.93,4.84,1530,1530,31/03/2027,4,"FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM"
Daikin,RQQ16TYM,1,43.43,3.28,4.36,5.27,3.46,4.44,3260,3260,31/03/2027,8,"FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM"
Daikin,RXUQ16AYMW,3,43.42,3.57,4.99,6.51,6.13,5.47,2311,2311,31/03/2027,8,"FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM"
Daikin,RXMQ8AY1,1,21.62,3.60,4.08,5.05,5.49,4.48,1404,1404,31/03/2027,4,"FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM"
Daikin,RQQ6TYM,2,15.44,4.37,5.20,6.05,3.68,5.20,1129,1129,31/03/2027,3,"FXFQ50SVM, FXFQ50SVM, FXFQ50SVM"
Daikin,RQQ18TYM,1,48.25,2.98,4.31,5.20,3.69,4.42,3587,3587,31/03/2027,9,"FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM, FXFQ50SVM"
Daikin,RXUQ6AYMW,5,15.44,4.74,6.13,6.67,6.84,6.32,741,741,31/03/2027,3,"FXFSQ50AVM, FXFSQ50AVM, FXFSQ50AVM"
Fujitsu,AJA040LELBH,3,12.30,4.77,5.76,6.20,3.61,5.58,935,935,31/03/2027,4,"AUXN009GLAH, AUXN009GLAH, AUXN009GLAH, AUXN012GLAH"
Fujitsu,AJA108LELBH,2,33.53,3.15,4.35,5.45,6.18,4.82,2259,2259,31/03/2027,6,"AUXK018GLEH, AUXK018GLEH, AUXK018GLEH, AUXK018GLEH, AUXK018GLEH, AUXK018GLEH"
Fujitsu,AJA090LELBH,2,28.86,3.26,4.43,5.78,6.22,4.95,1900,1900,31/03/2027,4,"AUXK018GLEH, AUXK018GLEH, AUXK030GLEH, AUXK030GLEH"
Fujitsu,AJA144LELBH,1,45.40,3.01,4.04,5.17,6.30,4.57,2980,2980,31/03/2027,6,"AUXK030GLEH, AUXK030GLEH, AUXK030GLEH, AUXK030GLEH, AUXK018GLEH, AUXK018GLEH"
Fujitsu,AJA072LNTCH,2,21.34,3.92,4.82,5.77,3.42,4.85,1871,1871,31/03/2027,4,"AUXA18GALH, AUXA18GALH, AUXA18GALH, AUXA18GALH"
Fujitsu,AJA108LNTCH,1,32.61,3.62,4.62,5.58,3.68,4.71,2618,2618,31/03/2027,6,"AUXA18GALH, AUXA18GALH, AUXA18GALH, AUXA18GALH, AUXA18GALH, AUXA18GALH"
Fujitsu,AJA090LNTCH,1,27.11,3.53,4.59,5.53,4.35,4.76,2249,2249,31/03/2027,5,"AUXA18GALH, AUXA18GALH, AUXA18GALH, AUXA18GALH, AUXA18GALH"
Fujitsu,AJA054LELBH,2,15.66,4.01,5.13,6.10,4.16,5.22,1135,1135,31/03/2027,4,"AUXN012GLAH, AUXN012GLAH, AUXN012GLAH, AUXN014GLAH"
Fujitsu,AJA126LNTCH,1,38.39,3.39,4.22,5.27,5.28,4.59,3156,3156,31/03/2027,7,"AUXA18GALH, AUXA18GALH, AUXA18GALH, AUXA18GALH, AUXA18GALH, AUXA18GALH, AUXA18GALH"
Fujitsu,AJA126LELBH,2,40.02,3.26,4.41,5.34,6.21,4.83,2575,2575,31/03/2027,6,"AUXK030GLEH, AUXK030GLEH, AUXK018GLEH, AUXK018GLEH, AUXK018GLEH, AUXK018GLEH"
Fujitsu,AJA045LELBH,3,14.11,4.42,5.56,6.41,3.99,5.54,1020,1020,31/03/2027,4,"AUXN012GLAH, AUXN012GLAH, AUXN012GLAH, AUXN012GLAH"
Fujitsu,AJA072LELBH,2,22.47,3.54,4.75,5.93,5.26,5.07,1554,1554,31/03/2027,4,"AUXK18GLEH, AUXK18GLEH, AUXK18GLEH, AUXK18GLEH"
Fujitsu,AJA144LNTCH,1,43.20,3.17,4.09,5.32,5.71,4.57,3533,3533,31/03/2027,8,"AUXA18GALH, AUXA18GALH, AUXA18GALH, AUXA18GALH, AUXA18GALH, AUXA18GALH, AUXA18GALH, AUXA18GALH"
GREE,GMVL-224WM/G-X(P),3,22.02,4.71,5.16,5.88,5.35,5.35,1062,1062,30/03/2025,12,"GMV-ND18T/C2-T, GMV-ND18T/C2-T, GMV-ND18T/C2-T, GMV-ND18T/C2-T, GMV-ND18T/C2-T, GMV-ND18T/C2-T, GMV-ND18T/C2-T, GMV-ND18T/C2-T, GMV-ND18T/C2-T, GMV-ND18T/C2-T, GMV-ND18T/C2-T, GMV-ND18T/C2-T"
GREE,GMVL-280WM/G-X(P),3,27.16,4.27,5.02,5.74,5.73,5.27,1324,1324,30/03/2025,12,"GMV-ND36T/C2-T, GMV-ND36T/C2-T, GMV-ND36T/C2-T, GMV-ND36T/C2-T, GMV-ND18T/C2-T , GMV-ND18T/C2-T , GMV-ND18T/C2-T , GMV-ND18T/C2-T , GMV-ND18T/C2-T , GMV-ND18T/C2-T , GMV-ND18T/C2-T , GMV-ND18T/C2-T "
GREE,GMV-Y335WM/C-X,2,33.00,3.88,4.56,5.36,5.35,4.84,2088,2088,20/08/2024,12,"GMV-ND28T/C2-T, GMV-ND28T/C2-T, GMV-ND28T/C2-T, GMV-ND28T/C2-T, GMV-ND28T/C2-T, GMV-ND28T/C2-T, GMV-ND28T/C2-T, GMV-ND28T/C2-T, GMV-ND28T/C2-T, GMV-ND28T/C2-T, GMV-ND28T/C2-T, GMV-ND28T/C2-T"
